epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,264.214,0.39595,0.37506,0.82148,0.99299,0.9866,0.99479,0.90492,0.37203,0.34344,0.84192,0.000396071,0.000396071,0.000396071
67,267.929,0.39115,0.38232,0.82907,0.99302,0.98003,0.99479,0.89638,0.39025,0.35016,0.84034,0.000385073,0.000385073,0.000385073
68,272.588,0.4063,0.39411,0.81976,0.98372,0.99053,0.9946,0.89784,0.38848,0.34497,0.83805,0.000374074,0.000374074,0.000374074
69,276.482,0.40433,0.36176,0.81792,0.97743,0.98774,0.9946,0.89018,0.39497,0.35697,0.83974,0.000363075,0.000363075,0.000363075
70,280.043,0.39659,0.37363,0.82184,0.98247,0.96726,0.99222,0.89055,0.38955,0.35821,0.84349,0.000352076,0.000352076,0.000352076
71,284.126,0.39878,0.36228,0.81097,0.97536,0.98769,0.9946,0.90927,0.35957,0.33915,0.83721,0.000341077,0.000341077,0.000341077
72,288.144,0.38588,0.34599,0.81326,0.98044,0.99241,0.9946,0.90124,0.38665,0.34645,0.84527,0.000330078,0.000330078,0.000330078
73,291.804,0.36746,0.34305,0.81453,0.97051,0.99286,0.9946,0.90522,0.37381,0.33407,0.84524,0.000319079,0.000319079,0.000319079
74,295.307,0.39142,0.34465,0.80692,0.98124,0.99286,0.9946,0.90027,0.37728,0.32777,0.84674,0.00030808,0.00030808,0.00030808
75,299.71,0.39244,0.34275,0.82118,0.98994,0.99017,0.9946,0.90327,0.3693,0.327,0.84422,0.000297081,0.000297081,0.000297081
76,303.671,0.38409,0.346,0.81504,0.99104,0.9922,0.99442,0.90349,0.38116,0.32562,0.84068,0.000286083,0.000286083,0.000286083
77,307.328,0.37846,0.34902,0.81793,0.98623,0.99241,0.9946,0.90876,0.37064,0.32447,0.83861,0.000275084,0.000275084,0.000275084
78,311.965,0.3729,0.33629,0.81155,0.98101,0.99157,0.9946,0.90888,0.36023,0.31966,0.83558,0.000264085,0.000264085,0.000264085
79,315.915,0.38473,0.33426,0.82085,0.98198,0.99286,0.9946,0.90691,0.37998,0.32166,0.83854,0.000253086,0.000253086,0.000253086
80,319.401,0.37571,0.32889,0.80349,0.98564,0.99286,0.9946,0.89954,0.36711,0.31797,0.83679,0.000242087,0.000242087,0.000242087
81,323.27,0.39172,0.32965,0.81603,0.98693,0.99137,0.99442,0.90554,0.37941,0.3223,0.83748,0.000231088,0.000231088,0.000231088
82,327.532,0.381,0.33137,0.8239,0.99059,0.98921,0.99442,0.89798,0.36598,0.32423,0.83289,0.000220089,0.000220089,0.000220089
83,331.209,0.37342,0.32702,0.81723,0.99056,0.99073,0.9946,0.90429,0.36758,0.31884,0.83375,0.00020909,0.00020909,0.00020909
84,334.723,0.36722,0.3231,0.80611,0.98186,0.99286,0.99479,0.89515,0.36989,0.31049,0.83495,0.000198091,0.000198091,0.000198091
85,339.246,0.35808,0.31383,0.81002,0.98158,0.99286,0.99479,0.89686,0.36437,0.30855,0.83223,0.000187092,0.000187092,0.000187092
86,342.941,0.35338,0.32002,0.80307,0.98667,0.99094,0.99479,0.90275,0.36236,0.30518,0.83332,0.000176094,0.000176094,0.000176094
87,346.402,0.36524,0.32563,0.81436,0.98813,0.9902,0.9946,0.89863,0.36537,0.30524,0.83333,0.000165095,0.000165095,0.000165095
88,350.552,0.34885,0.30344,0.79797,0.98311,0.99251,0.9946,0.90533,0.35,0.30062,0.83128,0.000154096,0.000154096,0.000154096
89,354.751,0.36582,0.33176,0.80374,0.98111,0.99286,0.9946,0.90689,0.35201,0.29848,0.83281,0.000143097,0.000143097,0.000143097
90,358.525,0.36301,0.31256,0.80912,0.98119,0.99262,0.99479,0.89981,0.3564,0.29994,0.83326,0.000132098,0.000132098,0.000132098
91,364.282,0.35205,0.34777,0.80591,0.98081,0.99193,0.99479,0.89637,0.355,0.30422,0.8315,0.000121099,0.000121099,0.000121099
92,368.788,0.34197,0.33669,0.80697,0.98167,0.99206,0.99479,0.90425,0.35894,0.3131,0.83212,0.0001101,0.0001101,0.0001101
93,372.466,0.34062,0.35357,0.81808,0.98477,0.99149,0.9946,0.90409,0.35394,0.3092,0.83155,9.91012e-05,9.91012e-05,9.91012e-05
94,375.961,0.33394,0.32091,0.79463,0.98687,0.99075,0.9946,0.9061,0.35543,0.30569,0.83503,8.81023e-05,8.81023e-05,8.81023e-05
95,380.357,0.33466,0.32131,0.80334,0.98623,0.99075,0.9946,0.90565,0.35551,0.30597,0.834,7.71034e-05,7.71034e-05,7.71034e-05
96,384.162,0.32945,0.3178,0.79833,0.98398,0.99102,0.99442,0.90939,0.36078,0.30839,0.83492,6.61045e-05,6.61045e-05,6.61045e-05
97,387.696,0.32862,0.31755,0.80674,0.97796,0.9868,0.99424,0.91064,0.35542,0.30378,0.83305,5.51056e-05,5.51056e-05,5.51056e-05
98,392.174,0.32981,0.30988,0.80588,0.9744,0.9868,0.99424,0.91148,0.35449,0.29901,0.83283,4.41067e-05,4.41067e-05,4.41067e-05
99,395.796,0.31591,0.30667,0.78923,0.97156,0.98703,0.99424,0.91198,0.35288,0.29807,0.83247,3.31078e-05,3.31078e-05,3.31078e-05
100,399.239,0.33068,0.32313,0.79849,0.97075,0.98857,0.99424,0.91168,0.3528,0.29633,0.83351,2.21089e-05,2.21089e-05,2.21089e-05
